name,page,wikidata_id,foundingYearOrg,address,city,province,is_member_of,head_name,head_title,governing_body,academicStaffSize,numberOfStudents,latitude,longitude,coord_level
Học viện Báo chí và Tuyên truyền,Học viện Báo chí và Tuyên truyền,Q10771877,1962,thành phố Hà Nội,Hà Nội,Hà Nội,,Phạm Minh Sơn,Giám đốc,Học viện Chính trị quốc gia Hồ Chí Minh,,,21.037800,105.788000,Exact
Học viện Hải quân,Học viện Hải quân,Q7928533,2022,Việt Nam,Nha Trang,Khánh Hòa,,,,Bộ Quốc phòng,,,12.215100,109.207000,Exact
Trường Đại học An Giang,"Trường Đại học An Giang, Đại học Quốc gia Thành phố Hồ Chí Minh",Q4750013,1976,"18 Ung Văn Khiêm, phường Long Xuyên",Long Xuyên,An Giang,Đại học Quốc gia Thành phố Hồ Chí Minh,Võ Văn Thắng,Hiệu trưởng,Đại học Quốc gia Thành phố Hồ Chí Minh,490,,10.371800,105.431000,Exact
Trường Đại học Đà Lạt,Trường Đại học Đà Lạt,Q3177493,1975,"Số 1, Phù Đổng Thiên Vương",Đà Lạt,Lâm Đồng,,Lê Minh Chiến,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,3000,11.955639,108.442858,Exact
Trường Đại học Hải Phòng,Trường Đại học Hải Phòng,Q5638944,1959,Hải Phòng,Hải Phòng,Hải Phòng,,Bùi Xuân Hải,Hiệu trưởng,Bộ Giáo dục và Đào tạo,749,,20.839800,106.688000,Exact
Trường Đại học Hàng hải Việt Nam,Trường Đại học Hàng hải Việt Nam,Q7928523,1956,Hải Phòng,Hải Phòng,Hải Phòng,,Phạm Xuân Dương,Hiệu trưởng,Bộ Xây Dựng,683,,20.837335,106.695632,Exact
Trường Đại học Hùng Vương,Trường Đại học Hùng Vương,Q10829053,2003,Phường Nông Trang,Việt Trì,Phú Thọ,,Đỗ Khắc Thanh,Hiệu trưởng,Bộ Giáo dục và Đào tạo,315,,21.322700,105.401900,Approximate
Trường Đại học Khoa học Xã hội và Nhân văn,"Trường Đại học Khoa học Xã hội và Nhân văn, Đại học Quốc gia Hà Nội",Q10829064,1945,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Hoàng Anh Tuấn,Hiệu trưởng,Đại học Quốc gia Hà Nội,292,13000,21.027800,105.834200,Approximate
Trường Đại học Kinh tế,"Trường Đại học Kinh tế, Đại học Quốc gia Hà Nội",Q5146680,1995,Hà Nội,Hà Nội,Hà Nội,Đại học Quốc gia Hà Nội,Lê Trung Thành,Hiệu trưởng,Đại học Quốc gia Hà Nội,180,,21.027800,105.834200,Approximate
Trường Đại học Lạc Hồng,Trường Đại học Lạc Hồng,Q10829092,1997,"Số 10 Huỳnh Văn Nghệ, phường Trấn Biên",Biên Hòa,Đồng Nai,,Lâm Thành Hiển,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,20000,10.954500,106.802300,Exact
Trường Đại học Quốc tế Bắc Hà,Trường Đại học Quốc tế Bắc Hà,Q10829118,2007,Thị trấn Lim - huyện Tiên Du - Tỉnh Bắc Ninh,Hà Nội,Bắc Ninh,,PGS.TS.Nguyễn Quốc Trung,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Đại học Vinh,Trường Đại học Vinh,Q20984308,1959,phường Trường Vinh,Vinh,Nghệ An,,GS.TS.Nguyễn Huy Bằng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,1250,,18.658861,105.695889,Exact
Học viện Chính trị Công an nhân dân,Học viện Chính trị Công an nhân dân,Q122143828,2014,Việt Nam,,,,,,Bộ Công an,,2580,16.047079,108.206230,Approximate
Học viện Kỹ thuật và Công nghệ An ninh,Học viện Kỹ thuật và Công nghệ An ninh,Q24956646,1002,Nghệ An,,Nghệ An,,,,Bộ Công an,,1500,19.234200,104.920000,Approximate
Trường Trung cấp Cảnh sát nhân dân V,Trường Trung cấp Cảnh sát nhân dân V,Q24959055,2010,"Xã Bình Phục, huyện Thăng Bình",,Quảng Nam,,Thượng tá Bùi Nghi Lâm,Hiệu trưởng,Tổng cục Chính trịCông an nhân dân Việt Nam,,3000,15.539400,108.019100,Approximate
Học viện An ninh nhân dân,Học viện An ninh nhân dân,Q25417473,1946,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Công an,,,21.027800,105.834200,Approximate
Học viện Cảnh sát nhân dân,Học viện Cảnh sát nhân dân,Q10771884,1968,"Đường Phạm Văn Nghị, phường Đông Ngạc",Hà Nội,Hà Nội,,Trần Minh Hưởng,Giám đốc,Bộ Công an,,10000,21.027800,105.834200,Approximate
Trường Đại học An ninh nhân dân,Trường Đại học An ninh nhân dân,Q86012406,,Việt Nam,Hồ Chí Minh,Hồ Chí Minh,,,,Bộ Công an,,,10.823100,106.629700,Approximate
Trường Đại học Cảnh sát nhân dân,Trường Đại học Cảnh sát nhân dân,Q20026260,2014,Việt Nam,Hồ Chí Minh,Hồ Chí Minh,,,,Bộ Công an tại Việt Nam,,3500,10.823100,106.629700,Approximate
Trường Đại học Phòng cháy chữa cháy,Trường Đại học Phòng cháy chữa cháy,Q20026261,,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Công an,,6000,21.027800,105.834200,Approximate
Trường Cao đẳng Công nghệ Viettronics,Trường Cao đẳng Công nghệ Viettronics,Q10828791,2003,"118 Cát Bi, Hải An",Hải Phòng,Hải Phòng,,Nguyễn Thị Thiết,Hiệu trưởng,,120,450,20.844900,106.688100,Approximate
Trường Cao đẳng Công thương Thành phố Hồ Chí Minh,Trường Cao đẳng Công thương Thành phố Hồ Chí Minh,Q10828797,1976,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Bùi Mạnh Tuân,Hiệu trưởng,Bộ Công Thương,,,10.823100,106.629700,Approximate
Trường Cao đẳng Kỹ thuật Cao Thắng,Trường Cao đẳng Kỹ thuật Cao Thắng,Q10828800,,"65 Huỳnh Thúc Kháng, phường Sài Gòn",Hồ Chí Minh,Hồ Chí Minh,,Lê Đình Kha,Hiệu trưởng,,286,12000,10.823100,106.629700,Approximate
Trường Cao đẳng Công nghiệp Huế,Trường Cao đẳng Công nghiệp Huế,Q17266876,,Huế,Huế,Thừa Thiên Huế,,,,Bộ Công Thương,,1600,16.463700,107.590900,Approximate
Trường Cao đẳng Công nghiệp Nam Định,Trường Cao đẳng Công nghiệp Nam Định,Q24955503,1956,Nam Định,,Nam Định,,,,Bộ Công Thương,,,20.438800,106.162100,Approximate
Trường Cao đẳng Công thương Miền Trung,Trường Cao đẳng Công thương Miền Trung,Q10828787,1978,261 đường Nguyễn Tất Thành | Phường Tuy Hòa,Tuy Hòa,Đắk Lắk,,Nguyễn Thị Kim Ngọc,Hiệu trưởng,,,,13.095500 | 13.095500,109.320900 | 109.320900,Approximate | Approximate
Cao đẳng Kinh tế Đối ngoại,Cao đẳng Kinh tế Đối ngoại,Q30921816,1058,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Lê Ngọc Trung,Hiệu trưởng,Bộ Công Thương,259,,10.797500,106.681028,Exact
Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,Q7895548,1956,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Phan Hồng Hải,Hiệu trưởng,Bộ Công Thương,,36000,10.938400,106.824000,Exact
Trường Đại học Công Thương Thành phố Hồ Chí Minh,Trường Đại học Công Thương Thành phố Hồ Chí Minh,Q10829026,1982,quận Tân Phú,Hồ Chí Minh,Hồ Chí Minh,,NGƯT. PGS. TS. Nguyễn Xuân Hoàn,Hiệu trưởng,Bộ Công Thương,,30000,10.823100,106.629700,Approximate
Trường Đại học Công nghiệp Việt – Hung,Trường Đại học Công nghiệp Việt – Hung,Q16480995,1977,Hà Nội,Hà Nội,Hà Nội,,"Nhà giáo nhân dân, Tiến sĩ Nguyễn Đức Trí",Hiệu trưởng,Bộ Công Thương,,4500,21.027800,105.834200,Approximate
Trường Đại học Công nghiệp Việt Trì,Trường Đại học Công nghiệp Việt Trì,Q10829016,1956,"9 Tiên Sơn, Tiên Cát, Việt Nam hoặc | khu 10, Tiên Kiên, Lâm Thao",Việt Trì,Phú Thọ,,Vũ Đức Bình,Hiệu trưởng,Bộ Công Thương và được giám sát về đào tạo bởi Bộ Giáo dục và Đào tạo,,,21.322700 | 21.322700,105.401900 | 105.401900,Approximate | Approximate
Đại học Công nghiệp Hà Nội,Đại học Công nghiệp Hà Nội,Q16892082,1898,"298 Cầu Diễn, phường Tây Tựu | Phường Tây Tựu | Phường Phù Vân",Hà Nội,Hà Nội,,Kiều Xuân Thực,Hiệu trưởng,Bộ Công Thương,1562,,21.054100 | 21.027800 | 21.027800,105.735000 | 105.834200 | 105.834200,Exact | Approximate | Approximate
Trường Đại học Sao Đỏ,Trường Đại học Sao Đỏ,Q10829121,2010,"Số 24, Thái Học 2, phường Sao Đỏ",Chí Linh,Hải Dương,,NGND.TS Đinh Văn Nhượng,Hiệu trưởng,Bộ Công Thương,284,,20.937300,106.314600,Approximate
Trường Đại học Công nghiệp Quảng Ninh,Trường Đại học Công nghiệp Quảng Ninh,Q10829025,,phường Yên Thọ,Đông Triều,Quảng Ninh,,Tiến sĩ. Hoàng Hùng Thắng,Hiệu trưởng,Bộ Công Thương,266,1500,21.006400,107.292500,Approximate
Trường Đại học Điện lực,Trường Đại học Điện lực,Q5357466,1898,"235 Hoàng Quốc Việt, phường Cổ Nhuế 1, quận Bắc Từ Liêm | Xã Tân Minh, huyện Sóc Sơn | 126 Phố Xốm, Phường Phú Lương",Hà Nội,Hà Nội,,Đinh Văn Châu,Hiệu trưởng,Bộ Công thương Việt Nam,,222,21.046800 | 21.027800 | 21.027800,105.785000 | 105.834200 | 105.834200,Exact | Approximate | Approximate
Trường Đại học Kinh tế – Kỹ thuật Công nghiệp,Trường Đại học Kinh tế – Kỹ thuật Công nghiệp,Q10829072,1206,Hà Nội,Hà Nội,Hà Nội,,Trần Hoàng Long,Hiệu trưởng,Bộ Công Thương Việt Nam,550,,21.027800,105.834200,Approximate
Trường Đại học Đồng Tháp,Trường Đại học Đồng Tháp,Q30263747,2003,"783 Phạm Hữu Lầu, Phường Cao Lãnh",,Đồng Tháp,,Hồ Văn Thống,Hiệu trưởng,Bộ Giáo dục và Đào tạo,2024,,10.420858,105.642929,Exact
Trường Đại học Giao thông Vận tải,Trường Đại học Giao thông Vận tải,Q10829041,1902,"Số 3 đường Cầu Giấy, phường Láng | Số 450-451 Lê Văn Việt, phường Tăng Nhơn Phú",Hà Nội,Hà Nội,,Nguyễn Văn Hùng{{Chú thích web,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,21.027800 | 21.027800,105.834200 | 105.834200,Approximate | Approximate
Trường Đại học Kiên Giang,Trường Đại học Kiên Giang,Q65172352,2006,xã Châu Thành,,An Giang,,Nguyễn Văn Thành,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.521600,105.125900,Approximate
Trường Đại học Mở Hà Nội,Trường Đại học Mở Hà Nội,Q86012409,1993,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Thị Nhung,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,35000,21.027800,105.834200,Approximate
Trường Đại học Mở Thành phố Hồ Chí Minh,Trường Đại học Mở Thành phố Hồ Chí Minh,Q10829094,1990,"35-37 Hồ Hảo Hớn, phường Cầu Ông Lãnh",Hồ Chí Minh,Hồ Chí Minh,,GVCC. Nguyễn Minh Hà,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.761111,106.692222,Exact
Trường Đại học Mỹ thuật Công nghiệp,Trường Đại học Mỹ thuật Công nghiệp,Q16481353,1949,Hà Nội,Hà Nội,Hà Nội,,Phạm Hùng Cường,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Đại học Nha Trang,Trường Đại học Nha Trang,Q2740474,1959,Nha Trang,Nha Trang,Khánh Hòa,,,,Bộ Giáo dục và Đào tạo,472,,12.270300,109.200000,Exact
Trường Đại học Nông Lâm Thành phố Hồ Chí Minh,Trường Đại học Nông Lâm Thành phố Hồ Chí Minh,Q5873976,1955,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Tất Toàn,Hiệu trưởng,Bộ Giáo dục và Đào tạo thành lập trên cơ sở Trường Quốc gia Nông Lâm Mục Bảo Lộc,,22000,10.871300,106.791700,Exact
Học viện Quản lý giáo dục,Học viện Quản lý giáo dục,Q10771899,1309,Hà Nội,Hà Nội,Hà Nội,,Phạm Văn Thuần,Giám đốc,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Đại học Quy Nhơn,Trường Đại học Quy Nhơn,Q10829116,,"170 An Dương Vương, phường Quy Nhơn Nam",Quy Nhơn,Bình Định,,Đoàn Đức Tùng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,80000,13.782000,109.219700,Approximate
Trường Đại học Sư phạm Hà Nội 2,Trường Đại học Sư phạm Hà Nội 2,Q10829128,1950,"32 Nguyễn Văn Linh, Phường Xuân Hòa",,Phú Thọ,,Nguyễn Quang Huy,Hiệu trưởng,Bộ Giáo dục và Đào tạo,316,,21.268400,105.204600,Approximate
Trường Đại học Sư phạm Kỹ thuật Hưng Yên,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,Q7896405,1966,Trụ sở chính: xã Việt Tiến,,Hưng Yên,,Bùi Trung Thành,Hiệu trưởng,Bộ Giáo dục và Đào tạo,505,,20.938317,106.312390,Exact
Trường Đại học Công nghệ Kỹ thuật Thành phố Hồ Chí Minh,Trường Đại học Công nghệ Kỹ thuật Thành phố Hồ Chí Minh,Q10829131,1962,"Cơ sở 1. 1 Võ Văn Ngân, Phường Thủ Đức | Cơ sở 2. 484 Lê Văn Việt, Phường Tăng Nhơn Phú | Phân Hiệu Bình Phước: 899 Quốc lộ 14, Phường Bình Phước",Hồ Chí Minh,Hồ Chí Minh,,Lê Hiếu Giang,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,10.849900 | 10.823100 | 10.823100,106.771700 | 106.629700 | 106.629700,Exact | Approximate | Approximate
Trường Đại học Sư phạm Nghệ thuật Trung ương,Trường Đại học Sư phạm Nghệ thuật Trung ương,Q10829133,2010,Việt Nam,Hà Nội,Hà Nội,,,,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Đại học Sư phạm Thể dục Thể thao Hà Nội,Trường Đại học Sư phạm Thể dục Thể thao Hà Nội,Q10829134,2003,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Duy Quyết,Hiệu trưởng,Bộ Văn hóa,,,21.027800,105.834200,Approximate
Trường Đại học Sư phạm Thể dục Thể thao Thành phố Hồ Chí Minh,Trường Đại học Sư phạm Thể dục Thể thao Thành phố Hồ Chí Minh,Q10829135,1976,"639 Nguyễn Trãi, Phường 11, Quận 5",Hồ Chí Minh,Hồ Chí Minh,,Châu Vĩnh Huy,Hiệu trưởng,Bộ Văn hóa,,,10.823100,106.629700,Approximate
Trường Đại học Tây Bắc,Trường Đại học Tây Bắc,Q10829156,1960,"Đường Đặng Thai Mai, phường Tô Hiệu",,,,,,Bộ Giáo dục và Đào tạo,,,16.047079,108.206230,Approximate
Trường Đại học Tây Nguyên,Trường Đại học Tây Nguyên,Q16480583,1977,"567 đường Lê Duẩn, Đăk Lăk",Buôn Ma Thuột,Đắk Lắk,,Nguyễn Thanh Trúc,Hiệu trưởng,Bộ Giáo dục và Đào tạo,215,,12.666700,108.050000,Approximate
Trường Đại học Thương mại,Trường Đại học Thương mại,Q10829142,1960,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Hoàng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,610,,21.027800,105.834200,Approximate
Trường Đại học Việt Đức,Trường Đại học Việt Đức,Q835285,2022,Phường Thới Hoà,Hồ Chí Minh,Hồ Chí Minh,,René Thiele,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,11.107222,106.614444,Exact
Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội,Q3075696,1956,Hà Nội,Hà Nội,Hà Nội,,Huỳnh Quyết Thắng,Giám đốc,Bộ Giáo dục và Đào tạo,,40000,21.006389,105.843056,Exact
Trường Hóa và Khoa học Sự sống,"Trường Hóa và Khoa học Sự sống, Đại học Bách Khoa Hà Nội",,2023,Hà Nội,Hà Nội,Hà Nội,Đại học Bách Khoa Hà Nội,Chu Kỳ Sơn,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,21.027800,105.834200,Approximate
Trường Bách khoa,"Trường Bách khoa, Đại học Cần Thơ",,1103,TP. Cần Thơ,Cần Thơ,Cần Thơ,Đại học Cần Thơ,Nguyễn Văn Cương,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,7000,10.045200,105.746900,Approximate
Trường Công nghệ Thông tin và Truyền thông,"Trường Công nghệ Thông tin và Truyền thông, Đại học Cần Thơ",,1102,TP. Cần Thơ,Cần Thơ,Cần Thơ,Đại học Cần Thơ,Nguyễn Hữu Hòa,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,4900,10.045200,105.746900,Approximate
Đại học Cần Thơ,Đại học Cần Thơ,Q5029090,1966,"Khu 2, Đường 3/2, phường Ninh Kiều",Cần Thơ,Cần Thơ,,Trần Trung Tính,Hiệu trưởng,Bộ Giáo dục và Đào tạo,1104,985,10.032300,105.768000,Exact
Trường Kinh tế,"Trường Kinh tế, Đại học Cần Thơ",,1102,TP. Cần Thơ,Cần Thơ,Cần Thơ,Đại học Cần Thơ,Lê Khương Ninh,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,7400,10.045200,105.746900,Approximate
Trường Nông nghiệp,"Trường Nông nghiệp, Đại học Cần Thơ",,1102,TP. Cần Thơ,Cần Thơ,Cần Thơ,Đại học Cần Thơ,Lê Văn Vàng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,7400,10.045200,105.746900,Approximate
Viện Đại học Cần Thơ,Viện Đại học Cần Thơ,Q10832797,1966,Cần Thơ,Cần Thơ,Cần Thơ,,,,Bộ Giáo dục và Đào tạo,,985,10.045200,105.746900,Approximate
Viện Đại học Đà Lạt,Viện Đại học Đà Lạt,Q10832803,1957,Đà Lạt,Đà Lạt,Lâm Đồng,,,,Bộ Giáo dục và Đào tạo,,,11.940400,108.458300,Approximate
Đại học Đà Nẵng,Đại học Đà Nẵng,Q945839,1994,Đà Nẵng,Đà Nẵng,Đà Nẵng,,Nguyễn Ngọc Vũ,Giám đốc,Bộ Giáo dục và Đào tạo,,,16.070939,108.219435,Exact
Phân hiệu Đại học Đà Nẵng tại Kon Tum,Phân hiệu Đại học Đà Nẵng tại Kon Tum,Q10805714,2007,"704 - Phan Đình Phùng, phường Kon Tum",,Kon Tum,Đại học Đà Nẵng,Nguyễn Phi Hùng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,500,14.349700,108.000500,Approximate
Trường Cao đẳng Công nghệ Thông tin Đà Nẵng,Trường Cao đẳng Công nghệ Thông tin Đà Nẵng,Q10828790,2003,"Tổ 31, Hải An, phường Ngũ Hành Sơn",Đà Nẵng,Đà Nẵng,,Huỳnh Công Pháp,Hiệu trưởng,Bộ Giáo dục và Đào tạo,100,3000,16.054400,108.202200,Approximate
Trường Đại học Bách khoa,"Trường Đại học Bách khoa, Đại học Đà Nẵng",Q5207276,1975,Đà Nẵng,Đà Nẵng,Đà Nẵng,Đại học Đà Nẵng,Nguyễn Hữu Hiếu,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,16.074893,108.153204,Exact
Trường Đại học Kinh tế,"Trường Đại học Kinh tế, Đại học Đà Nẵng",Q5207273,1975,TP. Đà Nẵng,Đà Nẵng,Đà Nẵng,Đại học Đà Nẵng,Lê Văn Huy,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,4500,16.047778,108.239167,Exact
Trường Đại học Ngoại ngữ,"Trường Đại học Ngoại ngữ, Đại học Đà Nẵng",Q10829099,2002,TP. Đà Nẵng,Đà Nẵng,Đà Nẵng,Đại học Đà Nẵng,Trần Hữu Phúc,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,16.054400,108.202200,Approximate
Trường Đại học Sư phạm Kỹ thuật,"Trường Đại học Sư phạm Kỹ thuật, Đại học Đà Nẵng",Q10828792,1962,TP. Đà Nẵng,Đà Nẵng,Đà Nẵng,Đại học Đà Nẵng,Nguyễn Lê Hùng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,16.054400,108.202200,Approximate
Trường Đại học Sư phạm,"Trường Đại học Sư phạm, Đại học Đà Nẵng",Q10829126,1994,TP. Đà Nẵng,Đà Nẵng,Đà Nẵng,Đại học Đà Nẵng,Võ Văn Minh,Hiệu trưởng,Bộ Giáo dục và Đào tạo,267,,16.054400,108.202200,Approximate
Phân hiệu Trường Đại học Giao thông Vận tải tại Thành phố Hồ Chí Minh,Phân hiệu Trường Đại học Giao thông Vận tải tại Thành phố Hồ Chí Minh,Q10829042,1990,Thành phố Hồ Chí Minh,Hồ Chí Minh,Hồ Chí Minh,,Nguyễn Văn Hùng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,10000,10.823100,106.629700,Approximate
Trường Đại học Hà Nội,Trường Đại học Hà Nội,Q10829049,1959,Hà Nội,Hà Nội,Hà Nội,,Nguyễn Văn Trào,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,20.989700,105.795200,Exact
Đại học Huế,Đại học Huế,Q1310048,1957,Huế,Huế,Thừa Thiên Huế,,Bùi Văn Lợi,Giám đốc,Bộ Giáo dục và Đào tạo,,1431,16.463700,107.590900,Approximate
Trường Trung học phổ thông chuyên Khoa học Huế,"Trường Trung học phổ thông chuyên Khoa học Huế, Đại học Huế",,1994,Huế,Huế,Thừa Thiên Huế,Đại học Huế,Trần Ngọc Tuyền,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,16.463700,107.590900,Approximate
Trường Du lịch,"Trường Du lịch, Đại học Huế",Q109429558,2008,TP. Huế,Huế,Thừa Thiên Huế,Đại học Huế,Trần Hữu Tuấn,Hiệu trưởng,Bộ Văn hóa,,3480,16.463700,107.590900,Approximate
Trường Đại học Khoa học,"Trường Đại học Khoa học, Đại học Huế",Q10829059,1957,thành phố Huế,Huế,Thừa Thiên Huế,Đại học Huế,Võ Thanh Tùng,Hiệu trưởng,Bộ Giáo dục và Đào tạo,,,16.463700,107.590900,Approximate
